id;task;face_gender;date;trial;img_number;button_pressed;classification;RT;time;actor;group;ethni;age;gender
IM1;FA;M;13-Feb-2019;1;16;76;1;4.8131;T1;1;E;J;9;m
IM1;FA;M;13-Feb-2019;2;3;65;0;1.8955;T1;1;E;J;9;m
IM1;FA;M;13-Feb-2019;3;6;65;0;2.485;T1;1;E;J;9;m
IM1;FA;M;13-Feb-2019;4;6;76;1;1.9084;T1;1;E;J;9;m
IM1;FA;M;13-Feb-2019;5;12;65;0;5.9227;T1;1;E;J;9;m
IM1;FA;M;13-Feb-2019;6;4;76;1;3.4124;T1;1;E;J;9;m
IM1;FA;M;13-Feb-2019;7;14;65;0;9.1076;T1;1;E;J;9;m
IM1;FA;M;13-Feb-2019;8;21;76;1;2.9744;T1;1;E;J;9;m
IM1;FA;M;13-Feb-2019;9;14;65;0;2.9065;T1;1;E;J;9;m
IM1;FA;M;13-Feb-2019;10;1;65;0;2.3281;T1;1;E;J;9;m
IM1;FA;M;13-Feb-2019;11;21;76;1;2.1064;T1;1;E;J;9;m
IM1;FA;M;13-Feb-2019;12;3;65;0;1.9886;T1;1;E;J;9;m
IM1;FA;M;13-Feb-2019;13;18;65;0;2.076;T1;1;E;J;9;m
IM1;FA;M;13-Feb-2019;14;18;76;1;4.5159;T1;1;E;J;9;m
IM1;FA;M;13-Feb-2019;15;1;65;0;2.4428;T1;1;E;J;9;m
IM1;FA;M;13-Feb-2019;16;1;65;0;1.5365;T1;1;E;J;9;m
IM1;FA;M;13-Feb-2019;17;1;65;0;1.6801;T1;1;E;J;9;m
IM1;FA;M;13-Feb-2019;18;20;76;1;3.1206;T1;1;E;J;9;m
IM1;FA;M;13-Feb-2019;19;15;65;0;2.107;T1;1;E;J;9;m
IM1;FA;M;13-Feb-2019;20;1;65;0;1.8202;T1;1;E;J;9;m
IM1;FA;M;13-Feb-2019;21;19;76;1;1.872;T1;1;E;J;9;m
IM1;FA;M;13-Feb-2019;22;2;65;0;2.156;T1;1;E;J;9;m
IM1;FA;M;13-Feb-2019;23;13;65;0;3.7602;T1;1;E;J;9;m
IM1;FA;M;13-Feb-2019;24;19;76;1;1.887;T1;1;E;J;9;m
IM1;FA;M;13-Feb-2019;25;19;76;1;3.0836;T1;1;E;J;9;m
