id;refugee;ethni;group;group_n;id_n;mu;sigma
IM26;0;J;C;0;19;0.925484872960909;1.05564821831512
IM27;0;J;C;0;20;0.0233191116131674;1.04091170109155
IM28;0;J;C;0;21;-0.138921004474862;0.359394802959782
IM29;0;J;C;0;22;-0.2867425661206;0.99698931152309
IM30;0;J;C;0;24;-0.305457529047943;0.315617691679051
IM31;0;J;C;0;25;-0.477480225284816;2.70191414939999
IM33;0;J;C;0;26;-0.349933816084381;0.30107304914605
IM34;0;J;C;0;27;-0.000516321594709299;0.39991775900134
IM35;0;J;C;0;28;-0.227477874841732;0.301971210197758
IM43;0;J;C;0;37;0.0651574464019154;0.944667512895361
IM44;0;J;C;0;38;-0.298146945739607;0.31185349633834
JM28;0;J;C;0;68;-0.145285751865393;0.381178605782922
JM29;0;J;C;0;69;-0.539513157184487;1.41012322974539
JM30;0;J;C;0;71;-0.0503122272884605;0.396699770922801
JM31;0;J;C;0;72;0.0184870085074569;0.326725980939231
JM33;0;J;C;0;73;-0.101139939522619;1.27214427576962
JM34;0;J;C;0;74;-0.288364570358268;0.313614353547385
JM36;0;J;C;0;75;0.0210065773184742;0.416234588898207
JM44;0;J;C;0;83;-0.558491409390137;0.454882441448134
JM45;0;J;C;0;84;-0.172276005547783;0.488114802668299
IM36;1;S;C;0;29;-0.511315022375241;0.682123024533772
IM37;1;S;C;0;30;-0.577348962724514;0.477430209117524
IM38;1;S;C;0;31;-0.366239611187041;0.278548755832493
IM39;1;S;C;0;32;0.129021229213548;0.818853355398357
IM40;1;S;C;0;34;-0.997257525312566;0.706180340233713
IM41;1;S;C;0;35;-0.557198352026134;0.527998886595363
IM42;1;S;C;0;36;-0.358564381213817;0.501568628386562
IM45;1;S;C;0;39;-0.121126053374307;0.480254272017779
IM46;1;S;C;0;40;-0.25911260171295;0.357339219295612
IM47;1;S;C;0;41;-0.246659372655705;0.344913072554431
IM48;1;S;C;0;42;-0.839276579994271;-1.10668444215479
JM38;1;S;C;0;76;-0.0480704273844552;0.38595651119768
JM39;1;S;C;0;77;-0.507410686917269;0.286335455280584
JM40;1;S;C;0;79;-0.418974040758079;0.446836454946037
JM41;1;S;C;0;80;-0.08058255098189;0.648690249300977
JM42;1;S;C;0;81;0.846124024073298;1.04453486643467
JM43;1;S;C;0;82;-0.0106321334798816;0.46885700554795
JM46;1;S;C;0;85;0.670271851189258;3.36353949478629
JM47;1;S;C;0;86;0.785898784505343;-13.5877758943555
JM48;1;S;C;0;87;-0.317494154343397;0.355055023108613
JM49;1;S;C;0;88;0.265320605206098;0.462522167648839
JM50;1;S;C;0;90;-0.299003668427738;0.326487762492643
IM1;0;J;E;1;1;-0.146042881525439;0.596099180608384
IM16;0;J;E;1;8;-0.164135451096961;0.420749184314523
IM17;0;J;E;1;9;-0.251245115945782;0.261539289171497
IM18;0;J;E;1;10;0.145961977688883;0.428018857766373
IM19;0;J;E;1;11;-1.14461863476322;2.41582243121113
IM2;0;J;E;1;12;-0.186290220303468;0.309161863643387
IM3;0;J;E;1;23;-0.153401634683582;0.261488339984502
IM4;0;J;E;1;33;-0.345500447560694;0.295460416812316
IM5;0;J;E;1;43;0.232524376925918;0.342799933540757
IM6;0;J;E;1;44;1.596778763561;2.27547667203988
IM7;0;J;E;1;45;-0.356431074626776;0.303452256285732
IM8;0;J;E;1;46;-0.241894042875024;0.283428911683909
JM1;0;J;E;1;48;0.0993620066144946;0.338984293614676
JM19;0;J;E;1;58;0.570801148275064;1.29731196862844
JM2;0;J;E;1;59;-0.14432559028582;0.34473120839831
JM20;0;J;E;1;60;0.669660555641128;1.21198055123344
JM21;0;J;E;1;61;-0.283909725111544;0.361206317483632
JM22;0;J;E;1;62;-0.184686833455224;0.305932062195708
JM26;0;J;E;1;66;-0.208711689904606;0.271621263841032
JM3;0;J;E;1;70;0.342756835789508;0.403939522994319
JM4;0;J;E;1;78;0.203604198049435;0.676889833018484
JM5;0;J;E;1;89;-0.372162835263202;0.236573345882333
JM6;0;J;E;1;91;0.120269974641056;0.3271063561906
JM7;0;J;E;1;92;-0.247087985196919;0.262021220025827
JM8;0;J;E;1;93;-0.0355190196878301;0.308016150007549
IM10;1;S;E;1;2;-0.308260648901433;1.10025884786742
IM11;1;S;E;1;3;-0.0880281351131558;2.81594851432242
IM12;1;S;E;1;4;-0.503155318093679;0.272352768187053
IM13;1;S;E;1;5;0.883477116005413;1.92260127055411
IM14;1;S;E;1;6;-0.248373867273814;0.258014113728824
IM15;1;S;E;1;7;-0.00780259903302811;0.382538507106004
IM20;1;S;E;1;13;3.55088421278533;2.31959378375778
IM21;1;S;E;1;14;-0.281097224141872;0.316904906330315
IM22;1;S;E;1;15;-0.0744586001289946;0.359179239154131
IM23;1;S;E;1;16;0.558504954545328;0.633722888655614
IM24;1;S;E;1;17;-0.568150605518896;0.28101074058925
IM25;1;S;E;1;18;-0.341856993833691;0.307508040893269
IM9;1;S;E;1;47;0.219096319810464;0.412358814027226
JM10;1;S;E;1;49;-0.272247573128572;0.319110314279701
JM11;1;S;E;1;50;-0.2457703038923;0.269480132425103
JM12;1;S;E;1;51;-0.00834404440481278;0.684645442937406
JM13;1;S;E;1;52;-0.124683767682426;0.345916250591289
JM14;1;S;E;1;53;1.33328722383208;1.65994625530354
JM15;1;S;E;1;54;-0.330159321151353;0.332782936456954
JM16;1;S;E;1;55;0.0536990004172483;0.612315719045515
JM17;1;S;E;1;56;0.416525263618184;1.19524780639429
JM18;1;S;E;1;57;-0.467792815088113;0.298332214132312
JM23;1;S;E;1;63;0.133859149134624;0.387985250196519
JM24;1;S;E;1;64;-0.27595182517658;0.318158685891417
JM25;1;S;E;1;65;-0.424215725965398;0.264980932705156
JM27;1;S;E;1;67;-0.451943443940628;0.390186266387413
