id;refugee;ethni;group;group_n;id_n;mu;sigma
IM26;0;J;C;0;19;-0.479874318791338;0.230682049093193
IM27;0;J;C;0;20;-0.353257866571224;0.235854509161938
IM28;0;J;C;0;21;-0.363448657651372;0.234024134012495
IM29;0;J;C;0;22;-0.384150064848577;0.229651488212297
IM30;0;J;C;0;24;-0.307641505870251;0.233446752131361
IM31;0;J;C;0;25;-0.610438204966482;0.256526685480264
IM33;0;J;C;0;26;-0.167217559980161;0.253541387406403
IM34;0;J;C;0;27;-0.432040421846375;0.257953230729274
IM35;0;J;C;0;28;-0.407905468971908;0.24928834672692
IM43;0;J;C;0;37;-0.715557851723711;0.247924821102476
IM44;0;J;C;0;38;-0.416112541476436;0.22804753382111
JM28;0;J;C;0;68;-0.361060873756621;0.235200693640565
JM29;0;J;C;0;69;-0.355789322423215;0.219832776713843
JM30;0;J;C;0;71;-0.21329485208254;0.242251737067518
JM31;0;J;C;0;72;-0.298175694320674;0.251555376879308
JM33;0;J;C;0;73;-0.510333440536781;0.240389300704403
JM34;0;J;C;0;74;-0.159588764784315;0.257043977305756
JM36;0;J;C;0;75;-0.415219060160734;0.229299981402873
JM44;0;J;C;0;83;-0.449206980880729;0.225156084057914
JM45;0;J;C;0;84;-0.457461842546693;0.216022479418395
IM36;1;S;C;0;29;-0.626677643942059;0.371091004763103
IM37;1;S;C;0;30;-0.339307140228535;0.237206577745413
IM38;1;S;C;0;31;-0.570792515054928;0.233501684836885
IM39;1;S;C;0;32;-0.337189222957953;0.261320710510135
IM40;1;S;C;0;34;-0.548390790344363;0.25013082493867
IM41;1;S;C;0;35;-0.310954190695268;0.254558782143705
IM42;1;S;C;0;36;0.0251691135741643;0.394251050049489
IM45;1;S;C;0;39;-0.695307143634852;0.3601354823962
IM46;1;S;C;0;40;-0.436314248888311;0.260646790143329
IM47;1;S;C;0;41;-0.400389585465826;0.26564211867826
IM48;1;S;C;0;42;-0.213249577217436;0.306924889149505
JM38;1;S;C;0;76;-1.02671664273569;0.37317888386855
JM39;1;S;C;0;77;-0.405629400623007;0.236818229346183
JM40;1;S;C;0;79;-0.0865881347741711;0.329041069219127
JM41;1;S;C;0;80;-0.25546742893033;0.332926019023937
JM42;1;S;C;0;81;-0.398339746643938;0.260214143259527
JM43;1;S;C;0;82;-0.412247345546044;0.252214059835072
JM46;1;S;C;0;85;-0.391547580248296;0.266212538766092
JM47;1;S;C;0;86;0.130307547644195;0.476703807729722
JM48;1;S;C;0;87;-0.431377390233039;0.239483574503923
JM49;1;S;C;0;88;-0.550751746843737;0.245932426942429
JM50;1;S;C;0;90;-0.620508888412009;0.357372555242986
IM1;0;J;E;1;1;-0.335665138088056;0.230502589362754
IM16;0;J;E;1;8;-0.171388591140171;0.248597053510187
IM17;0;J;E;1;9;-0.557505219051484;0.266996540804924
IM18;0;J;E;1;10;-0.440014437257684;0.221306924428769
IM19;0;J;E;1;11;-0.377212533185827;0.220317943956287
IM2;0;J;E;1;12;-0.425881393083685;0.225922778936765
IM3;0;J;E;1;23;-0.387226380009208;0.211951050348973
IM4;0;J;E;1;33;-0.259459848781561;0.22480135118839
IM5;0;J;E;1;43;-0.362068217547788;0.240719472224763
IM6;0;J;E;1;44;-0.110736331246743;0.271258639735649
IM7;0;J;E;1;45;-0.417622714015784;0.21342062926269
IM8;0;J;E;1;46;-0.404982232675459;0.224890426627648
JM1;0;J;E;1;48;-0.365507466641143;0.233377696244805
JM19;0;J;E;1;58;-0.350952420635138;0.221291927337715
JM2;0;J;E;1;59;-0.271996473755664;0.2590036022067
JM20;0;J;E;1;60;-0.566191411320063;0.224436004631645
JM21;0;J;E;1;61;-0.670643159824831;0.254397476217167
JM22;0;J;E;1;62;-0.276350676809232;0.3215445703467
JM26;0;J;E;1;66;-0.258375745566874;0.234030570715006
JM3;0;J;E;1;70;-0.10003387172472;0.298962590117087
JM4;0;J;E;1;78;-0.505390193083772;0.22078652905298
JM5;0;J;E;1;89;-0.314460385258903;0.232720985331662
JM6;0;J;E;1;91;-0.176649731977356;0.244291436842847
JM7;0;J;E;1;92;-0.367542078184521;0.320881559475558
JM8;0;J;E;1;93;-0.599729136396864;0.23994227916559
IM10;1;S;E;1;2;-0.97382814671165;0.358159810689805
IM11;1;S;E;1;3;-0.366173093718935;0.350645967318774
IM12;1;S;E;1;4;-0.66722907885416;0.271316088167502
IM13;1;S;E;1;5;-0.435736119046377;0.256804679457455
IM14;1;S;E;1;6;-0.518893198474102;0.237387738389879
IM15;1;S;E;1;7;-0.586123806693365;0.243505517966334
IM20;1;S;E;1;13;-0.687786527010724;0.286861254225827
IM21;1;S;E;1;14;-0.500110634523356;0.249389350357903
IM22;1;S;E;1;15;-0.394446846662903;0.246129031894713
IM23;1;S;E;1;16;-0.539885669216857;0.24581702899805
IM24;1;S;E;1;17;-0.535503363912082;0.212002447313003
IM25;1;S;E;1;18;-0.277100187831846;0.24526790617007
IM9;1;S;E;1;47;-0.500886776737871;0.256344154743251
JM10;1;S;E;1;49;-0.321822302988642;0.26481447568985
JM11;1;S;E;1;50;-0.218568919051483;0.289234420777
JM12;1;S;E;1;51;-0.345040762864359;0.252484944633637
JM13;1;S;E;1;52;-0.399114939325866;0.253121363299932
JM14;1;S;E;1;53;-0.550659039458405;0.231937404935176
JM15;1;S;E;1;54;-0.73473519289711;0.229767977284396
JM16;1;S;E;1;55;-0.486456842603614;0.245329033181302
JM17;1;S;E;1;56;-0.156867353139629;0.348437106281063
JM18;1;S;E;1;57;-0.262053137938392;0.266224352671489
JM23;1;S;E;1;63;-0.381148189277115;0.240549499108608
JM24;1;S;E;1;64;-0.320847873911059;0.264687956157981
JM25;1;S;E;1;65;-0.246208703745125;0.242495183782306
JM27;1;S;E;1;67;-0.322536191800795;0.330038646017541
